Year	Month	Days	Jday	Seasons
2040	2	29	32	1
2040	3	31	61	2
2040	4	30	92	2
2040	5	31	122	2
2040	6	30	153	3
2040	7	31	183	3
2040	8	31	214	3
2040	9	30	245	4
2040	10	31	275	4
2040	11	30	306	4
2040	12	31	336	1
2041	1	31	1	1
2041	2	28	32	1
2041	3	31	60	2
2041	4	30	91	2
2041	5	31	121	2
2041	6	30	152	3
2041	7	31	182	3
2041	8	31	213	3
2041	9	30	244	4
2041	10	31	274	4
2041	11	30	305	4
2041	12	31	335	1
2042	1	31	1	1
2042	2	28	32	1
2042	3	31	60	2
2042	4	30	91	2
2042	5	31	121	2
2042	6	30	152	3
2042	7	31	182	3
2042	8	31	213	3
2042	9	30	244	4
2042	10	31	274	4
2042	11	30	305	4
2042	12	31	335	1
2043	1	31	1	1
2043	2	28	32	1
2043	3	31	60	2
2043	4	30	91	2
2043	5	31	121	2
2043	6	30	152	3
2043	7	31	182	3
2043	8	31	213	3
2043	9	30	244	4
2043	10	31	274	4
2043	11	30	305	4
2043	12	31	335	1
2044	1	31	1	1
2044	2	29	32	1
2044	3	31	61	2
2044	4	30	92	2
2044	5	31	122	2
2044	6	30	153	3
2044	7	31	183	3
2044	8	31	214	3
2044	9	30	245	4
2044	10	31	275	4
2044	11	30	306	4
2044	12	31	336	1
2045	1	31	1	1
2045	2	28	32	1
2045	3	31	60	2
2045	4	30	91	2
2045	5	31	121	2
2045	6	30	152	3
2045	7	31	182	3
2045	8	31	213	3
2045	9	30	244	4
2045	10	31	274	4
2045	11	30	305	4
2045	12	31	335	1
2046	1	31	1	1
2046	2	28	32	1
2046	3	31	60	2
2046	4	30	91	2
2046	5	31	121	2
2046	6	30	152	3
2046	7	31	182	3
2046	8	31	213	3
2046	9	30	244	4
2046	10	31	274	4
2046	11	30	305	4
2046	12	31	335	1
2047	1	31	1	1
2047	2	28	32	1
2047	3	31	60	2
2047	4	30	91	2
2047	5	31	121	2
2047	6	30	152	3
2047	7	31	182	3
2047	8	31	213	3
2047	9	30	244	4
2047	10	31	274	4
2047	11	30	305	4
2047	12	31	335	1
2048	1	31	1	1
2048	2	29	32	1
2048	3	31	61	2
2048	4	30	92	2
2048	5	31	122	2
2048	6	30	153	3
2048	7	31	183	3
2048	8	31	214	3
2048	9	30	245	4
2048	10	31	275	4
2048	11	30	306	4
2048	12	31	336	1
2049	1	31	1	1
2049	2	28	32	1
2049	3	31	60	2
2049	4	30	91	2
2049	5	31	121	2
2049	6	30	152	3
2049	7	31	182	3
2049	8	31	213	3
2049	9	30	244	4
2049	10	31	274	4
2049	11	30	305	4
2049	12	31	335	1
2050	1	31	1	1
2050	2	28	32	1
2050	3	31	60	2
2050	4	30	91	2
2050	5	31	121	2
2050	6	30	152	3
2050	7	31	182	3
2050	8	31	213	3
2050	9	30	244	4
2050	10	31	274	4
2050	11	30	305	4
2050	12	31	335	1
2051	1	31	1	1
2051	2	28	32	1
2051	3	31	60	2
2051	4	30	91	2
2051	5	31	121	2
2051	6	30	152	3
2051	7	31	182	3
2051	8	31	213	3
2051	9	30	244	4
2051	10	31	274	4
2051	11	30	305	4
2051	12	31	335	1
2052	1	31	1	1
2052	2	29	32	1
2052	3	31	61	2
2052	4	30	92	2
2052	5	31	122	2
2052	6	30	153	3
2052	7	31	183	3
2052	8	31	214	3
2052	9	30	245	4
2052	10	31	275	4
2052	11	30	306	4
2052	12	31	336	1
2053	1	31	1	1
2053	2	28	32	1
2053	3	31	60	2
2053	4	30	91	2
2053	5	31	121	2
2053	6	30	152	3
2053	7	31	182	3
2053	8	31	213	3
2053	9	30	244	4
2053	10	31	274	4
2053	11	30	305	4
2053	12	31	335	1
2054	1	31	1	1
2054	2	28	32	1
2054	3	31	60	2
2054	4	30	91	2
2054	5	31	121	2
2054	6	30	152	3
2054	7	31	182	3
2054	8	31	213	3
2054	9	30	244	4
2054	10	31	274	4
2054	11	30	305	4
2054	12	31	335	1
2055	1	31	1	1
2055	2	28	32	1
2055	3	31	60	2
2055	4	30	91	2
